Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
139,-1.4288,17.6719,0.12978,12.967,14.171,15.688,17.672,20.4,24.442,31.209
140,-1.4235,17.7357,0.13009,13.003,14.214,15.74,17.736,20.48,24.546,31.351
141,-1.418,17.8001,0.1304,13.04,14.258,15.793,17.8,20.561,24.651,31.493
142,-1.4123,17.8651,0.1307,13.077,14.302,15.846,17.865,20.642,24.756,31.633
143,-1.4065,17.9306,0.13099,13.114,14.346,15.899,17.931,20.724,24.861,31.77
144,-1.4006,17.9966,0.13129,13.151,14.391,15.953,17.997,20.806,24.967,31.91
145,-1.3945,18.063,0.13158,13.189,14.436,16.008,18.063,20.889,25.072,32.047
146,-1.3883,18.1297,0.13186,13.227,14.481,16.062,18.13,20.972,25.177,32.182
147,-1.3819,18.1967,0.13214,13.265,14.526,16.117,18.197,21.055,25.282,32.316
148,-1.3755,18.2639,0.13241,13.303,14.572,16.172,18.264,21.138,25.387,32.448
149,-1.3689,18.3312,0.13268,13.341,14.618,16.227,18.331,21.222,25.491,32.579
150,-1.3621,18.3986,0.13295,13.379,14.663,16.282,18.399,21.305,25.596,32.708
151,-1.3553,18.466,0.13321,13.418,14.709,16.338,18.466,21.388,25.699,32.835
152,-1.3483,18.5333,0.13347,13.456,14.755,16.393,18.533,21.471,25.802,32.96
153,-1.3413,18.6006,0.13372,13.494,14.8,16.448,18.601,21.554,25.905,33.083
154,-1.3341,18.6677,0.13397,13.531,14.846,16.503,18.668,21.637,26.007,33.204
155,-1.3269,18.7346,0.13421,13.569,14.891,16.558,18.735,21.719,26.107,33.322
156,-1.3195,18.8012,0.13445,13.606,14.936,16.612,18.801,21.8,26.207,33.439
157,-1.3121,18.8675,0.13469,13.643,14.981,16.667,18.868,21.882,26.307,33.554
158,-1.3046,18.9335,0.13492,13.68,15.025,16.721,18.934,21.962,26.405,33.666
159,-1.297,18.9991,0.13514,13.717,15.07,16.775,18.999,22.042,26.501,33.775
160,-1.2894,19.0642,0.13537,13.753,15.113,16.828,19.064,22.122,26.598,33.884
161,-1.2816,19.1289,0.13559,13.788,15.157,16.881,19.129,22.201,26.693,33.989
162,-1.2739,19.1931,0.1358,13.824,15.2,16.934,19.193,22.279,26.786,34.092
163,-1.2661,19.2567,0.13601,13.859,15.243,16.986,19.257,22.357,26.879,34.192
164,-1.2583,19.3197,0.13622,13.893,15.285,17.037,19.32,22.433,26.97,34.292
165,-1.2504,19.382,0.13642,13.927,15.327,17.088,19.382,22.509,27.06,34.387
166,-1.2425,19.4437,0.13662,13.961,15.368,17.139,19.444,22.584,27.149,34.481
167,-1.2345,19.5045,0.13681,13.994,15.408,17.188,19.504,22.658,27.235,34.571
168,-1.2266,19.5647,0.137,14.026,15.448,17.238,19.565,22.731,27.321,34.66
169,-1.2186,19.624,0.13719,14.058,15.488,17.286,19.624,22.803,27.406,34.747
170,-1.2107,19.6824,0.13738,14.089,15.526,17.334,19.682,22.874,27.489,34.833
171,-1.2027,19.74,0.13756,14.119,15.564,17.38,19.74,22.943,27.57,34.914
172,-1.1947,19.7966,0.13774,14.149,15.601,17.427,19.797,23.012,27.65,34.994
173,-1.1867,19.8523,0.13791,14.179,15.638,17.472,19.852,23.079,27.727,35.07
174,-1.1788,19.907,0.13808,14.207,15.674,17.516,19.907,23.145,27.804,35.145
175,-1.1708,19.9607,0.13825,14.235,15.709,17.56,19.961,23.21,27.879,35.217
